  S0     S1     E      O      M     CCS    YGC     YGCT    FGC    FGCT    CGC    CGCT     GCT
  0.00  36.20  68.97  64.54  94.88  86.92    107    0.750     0    0.000    14    0.340    1.090
  0.00  36.20  68.97  64.54  94.88  86.92    107    0.750     0    0.000    14    0.340    1.090
  0.00  36.20  68.97  64.54  94.88  86.92    107    0.750     0    0.000    14    0.340    1.090
  0.00  36.20  68.97  64.54  94.88  86.92    107    0.750     0    0.000    14    0.340    1.090
  0.00  36.20  68.97  64.54  94.88  86.92    107    0.750     0    0.000    14    0.340    1.090
  0.00  36.20  68.97  64.54  94.88  86.92    107    0.750     0    0.000    14    0.340    1.090
  0.00  36.20  68.97  64.54  94.88  86.92    107    0.750     0    0.000    14    0.340    1.090
  0.00  36.20  68.97  64.54  94.88  86.92    107    0.750     0    0.000    14    0.340    1.090
  0.00  36.20  69.44  64.54  94.88  86.92    107    0.750     0    0.000    14    0.340    1.090
 61.01   0.00  13.08  64.54  94.89  86.95    108    0.755     0    0.000    14    0.340    1.095
  0.00  92.62   4.10  64.54  94.93  86.95    109    0.762     0    0.000    14    0.340    1.102
  0.00  97.91   4.52  67.12  95.00  87.11    111    0.785     0    0.000    14    0.340    1.125
  0.00  97.91  26.77  67.12  95.00  87.11    111    0.785     0    0.000    14    0.340    1.125
  0.00  97.91  81.41  67.12  95.00  87.11    111    0.785     0    0.000    14    0.340    1.125
  0.00  97.91  90.29  67.12  95.00  87.11    111    0.785     0    0.000    14    0.340    1.125
  0.00  97.91  98.13  67.12  95.00  87.11    111    0.785     0    0.000    14    0.340    1.125
 77.34   0.00   3.30  67.81  94.93  87.26    112    0.791     0    0.000    14    0.340    1.131
 77.34   0.00   6.76  67.81  94.93  87.26    112    0.791     0    0.000    14    0.340    1.131
 77.34   0.00  82.61  67.81  94.93  87.26    112    0.791     0    0.000    14    0.340    1.131
  0.00 100.00  26.48  67.82  95.06  87.21    113    0.794     0    0.000    14    0.340    1.135
  0.00 100.00  40.54  67.82  95.06  87.21    113    0.794     0    0.000    14    0.340    1.135
  0.00 100.00  45.41  67.82  95.06  87.21    113    0.794     0    0.000    14    0.340    1.135
  0.00 100.00  55.48  67.82  95.06  87.21    113    0.794     0    0.000    14    0.340    1.135
  0.00 100.00  60.74  67.82  95.06  87.21    113    0.794     0    0.000    14    0.340    1.135
  0.00 100.00  63.23  67.82  95.06  87.21    113    0.794     0    0.000    14    0.340    1.135
  0.00 100.00  63.50  67.82  95.06  87.21    113    0.794     0    0.000    14    0.340    1.135
  0.00 100.00  63.78  67.82  95.06  87.21    113    0.794     0    0.000    14    0.340    1.135
  0.00 100.00  73.96  67.82  95.06  87.21    113    0.794     0    0.000    14    0.340    1.135
 72.55   0.00  42.18  68.71  95.05  87.02    114    0.801     0    0.000    14    0.340    1.141
 72.55   0.00  61.62  68.71  95.05  87.02    114    0.801     0    0.000    14    0.340    1.141
 72.55   0.00  61.85  68.71  95.05  87.02    114    0.801     0    0.000    14    0.340    1.141
 72.55   0.00  62.13  68.71  95.05  87.02    114    0.801     0    0.000    14    0.340    1.141
 72.55   0.00  62.42  68.71  95.05  87.02    114    0.801     0    0.000    14    0.340    1.141
 72.55   0.00  63.01  68.71  95.05  87.02    114    0.801     0    0.000    14    0.340    1.141
 72.55   0.00  63.20  68.71  95.05  87.02    114    0.801     0    0.000    14    0.340    1.141
 72.55   0.00  63.43  68.71  95.05  87.02    114    0.801     0    0.000    14    0.340    1.141
