 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:        665800       91457704  [B (java.base@11.0.7)
   2:         51899       17001904  [I (java.base@11.0.7)
   3:        617050       14809200  java.lang.String (java.base@11.0.7)
   4:        144689       10244128  [Ljava.lang.Object; (java.base@11.0.7)
   5:         52208        6142176  java.lang.Class (java.base@11.0.7)
   6:        180485        5775520  java.util.HashMap$Node (java.base@11.0.7)
   7:        131738        3161712  java.util.ArrayList (java.base@11.0.7)
   8:         18541        2952216  [Ljava.util.HashMap$Node; (java.base@11.0.7)
   9:         81503        2608096  java.util.concurrent.ConcurrentHashMap$Node (java.base@11.0.7)
  10:         21412        2197312  [C (java.base@11.0.7)
  11:         52587        2103480  org.jdom.Attribute
  12:         12686        1710816  [J (java.base@11.0.7)
  13:         36223        1448920  java.util.LinkedHashMap$Entry (java.base@11.0.7)
  14:         13557        1193016  org.languagetool.rules.patterns.PatternToken
  15:         36972        1183104  com.intellij.util.containers.IntObjectLinkedMap$MapEntry
  16:         22912         916480  org.jdom.ContentList
  17:         22912         916480  org.jdom.Element
  18:         34235         821640  fuck_the_regulations_v321.bk
  19:          9168         806784  java.lang.reflect.Method (java.base@11.0.7)
  20:         24913         797216  java.util.Hashtable$Entry (java.base@11.0.7)
  21:         16258         780384  java.util.HashMap (java.base@11.0.7)
  22:         18840         753600  java.lang.ref.SoftReference (java.base@11.0.7)
  23:          1224         740888  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@11.0.7)
  24:         19702         713696  [Lorg.jdom.Attribute;
  25:          2690         678232  [F (java.base@11.0.7)
  26:         20443         654176  org.jdom.AttributeList
  27:          9030         650160  java.lang.reflect.Field (java.base@11.0.7)
  28:         14990         599600  b.a.la
  29:         10972         526656  java.lang.invoke.MemberName (java.base@11.0.7)
  30:         20646         495504  com.intellij.util.SmartList
  31:          1621         488088  [Z (java.base@11.0.7)
  32:          5068         445984  java.util.regex.Pattern (java.base@11.0.7)
  33:          7472         418432  java.util.LinkedHashMap (java.base@11.0.7)
  34:         17317         415608  org.languagetool.tagging.TaggedWord
  35:         10147         405880  com.intellij.util.containers.ConcurrentWeakKeySoftValueHashMap$WeakKey
  36:         24929         398864  java.lang.Object (java.base@11.0.7)
  37:            12         393408  [Ljava.util.concurrent.ForkJoinTask; (java.base@11.0.7)
  38:            33         388624  [Lcom.intellij.util.containers.IntObjectLinkedMap$MapEntry;
  39:         14197         369864  [Ljava.lang.Class; (java.base@11.0.7)
  40:           683         360624  [Lfuck_the_regulations_v321.aQ;
  41:          8509         340360  com.intellij.openapi.extensions.impl.XmlExtensionAdapter
  42:          2261         325584  org.languagetool.rules.patterns.PatternRule
  43:          8128         325120  java.lang.invoke.MethodType (java.base@11.0.7)
  44:          5802         324912  com.intellij.openapi.actionSystem.Presentation
  45:         10147         324704  com.intellij.util.containers.ConcurrentWeakKeyWeakValueHashMap$WeakValue
  46:          7671         306840  org.jetbrains.plugins.textmate.language.syntax.SyntaxNodeDescriptorImpl
  47:          2100         294656  [Ljava.util.Hashtable$Entry; (java.base@11.0.7)
  48:          7317         294040  [Ljava.lang.String; (java.base@11.0.7)
  49:          7240         289600  java.util.EnumMap (java.base@11.0.7)
  50:         11631         279144  java.util.regex.Pattern$SliceU (java.base@11.0.7)
  51:          4359         278976  java.util.concurrent.ConcurrentHashMap (java.base@11.0.7)
  52:          6873         274920  com.intellij.openapi.extensions.impl.XmlExtensionAdapter$SimpleConstructorInjectionAdapter
  53:          4289         274496  java.net.URL (java.base@11.0.7)
  54:         16826         269216  java.lang.Integer (java.base@11.0.7)
  55:          3341         267280  java.lang.reflect.Constructor (java.base@11.0.7)
  56:          5557         266736  gnu.trove.TIntObjectHashMap
  57:          8328         266496  com.sun.javafx.css.ParsedValueImpl (javafx.graphics@11.0.7)
  58:          8189         262048  java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry (java.base@11.0.7)
  59:          1724         248256  org.languagetool.tagging.disambiguation.rules.DisambiguationPatternRule
  60:          7729         247328  org.owasp.html.Trie
  61:          7652         244864  java.lang.invoke.DirectMethodHandle (java.base@11.0.7)
  62:          9350         224400  fuck_the_regulations_v321.az
  63:          8999         215976  java.lang.invoke.ResolvedMethodName (java.base@11.0.7)
  64:          6740         215680  com.intellij.util.containers.ConcurrentIntObjectHashMap$Node
  65:          5376         215040  com.intellij.codeInspection.ex.ScopeToolState
  66:          2236         214656  com.intellij.codeInspection.LocalInspectionEP
  67:          6493         207776  sun.nio.fs.UnixPath (java.base@11.0.7)
  68:         12597         201552  com.intellij.grazie.detector.utils.collections.ngram.NgramArray
  69:         12288         196608  java.util.HashSet (java.base@11.0.7)
  70:          1664         185320  [Lcom.intellij.util.containers.hash.LinkedHashMap$Entry;
  71:          4414         176560  com.intellij.util.containers.hash.LinkedHashMap$Entry
  72:          3648         175104  com.intellij.util.containers.ConcurrentIntKeySoftValueHashMap$MyRef
  73:          7235         173640  java.util.regex.Pattern$Slice (java.base@11.0.7)
  74:          5376         172032  com.intellij.codeInspection.ex.ToolsImpl
  75:          7145         171480  fuck_the_regulations_v321.av
  76:          6949         166776  com.intellij.grazie.detector.utils.collections.array.OneOptimizedFloatArray
  77:          4625         162184  [Lorg.jdom.Content;
  78:          3776         160800  [Ljava.util.regex.Pattern$Node; (java.base@11.0.7)
  79:          6416         153984  org.jetbrains.plugins.textmate.language.syntax.SyntaxRuleProxyDescriptor
  80:           234         153504  io.netty.util.internal.shaded.org.jctools.queues.MpscArrayQueue
  81:          4738         151616  java.lang.Package (java.base@11.0.7)
  82:          6301         151224  javassist.bytecode.Utf8Info
  83:          5923         147392  [Lorg.owasp.html.Trie;
  84:          3569         142760  fuck_the_regulations_v321.fu
  85:          2538         142128  org.languagetool.rules.patterns.Match
  86:          5825         139800  java.util.Collections$UnmodifiableRandomAccessList (java.base@11.0.7)
  87:          3389         135560  java.util.Collections$SingletonMap (java.base@11.0.7)
  88:          3322         132880  fuck_the_regulations_v321.bD
  89:          2664         127872  org.jdom.ImmutableElement
  90:          7774         124384  com.intellij.openapi.extensions.PluginId
  91:          5169         124056  javafx.css.Size (javafx.graphics@11.0.7)
  92:          5096         122304  fuck_the_regulations_v321.ad
  93:          3776         120832  java.util.regex.Pattern$Branch (java.base@11.0.7)
  94:          4944         118656  java.util.regex.Pattern$Start (java.base@11.0.7)
  95:          1292         113696  sun.font.CFont (java.desktop@11.0.7)
  96:          2335         112080  gnu.trove.THashMap
  97:          3442         110144  java.lang.ref.WeakReference (java.base@11.0.7)
  98:          2752         110080  java.math.BigInteger (java.base@11.0.7)
  99:          4578         109872  com.intellij.codeInspection.ex.LocalInspectionToolWrapper
 100:          2684         107360  com.intellij.ide.ui.ToolOptionDescription
 101:          1648         105472  com.intellij.util.containers.FixedHashMap
 102:          2176         104448  com.intellij.ui.scale.ScaleContext
 103:          2094         100512  java.util.Hashtable (java.base@11.0.7)
 104:          1379          99288  java.awt.Font (java.desktop@11.0.7)
 105:          2482          99280  java.lang.invoke.BoundMethodHandle$Species_LL (java.base@11.0.7)
 106:          1453          98768  [Ljava.lang.ref.SoftReference; (java.base@11.0.7)
 107:          4067          97608  java.util.regex.Pattern$BmpCharProperty (java.base@11.0.7)
 108:          3986          95664  com.intellij.openapi.vfs.newvfs.impl.VfsData$DirectoryData
 109:          1463          93632  com.intellij.codeInsight.template.impl.TemplateImpl
 110:          3881          93144  org.languagetool.rules.patterns.PatternToken$PosToken
 111:          3859          92616  com.intellij.openapi.util.Pair
 112:          1644          92064  com.intellij.openapi.util.IconLoader$CachedImageIcon
 113:          2298          91920  fuck_the_regulations_v321.eE
 114:          1908          91584  javafx.css.SimpleSelector (javafx.graphics@11.0.7)
 115:          1624          90944  com.intellij.openapi.actionSystem.ActionStub
 116:          2265          90600  java.util.WeakHashMap$Entry (java.base@11.0.7)
 117:          2198          87920  fuck_the_regulations_v321.gc
 118:           995          87560  jdk.internal.reflect.DelegatingClassLoader (java.base@11.0.7)
 119:          2174          86960  kotlin.reflect.jvm.internal.impl.protobuf.SmallSortedMap$1
 120:           982          86416  com.intellij.util.io.PagedFileStorage
 121:          3594          86256  com.intellij.patterns.compiler.PatternCompilerImpl$Node
 122:           907          83728  [Ljava.util.WeakHashMap$Entry; (java.base@11.0.7)
 123:          2066          82640  fuck_the_regulations_v321.gc
 124:           409          80096  [S (java.base@11.0.7)
 125:          2498          79936  java.lang.invoke.LambdaForm$Name (java.base@11.0.7)
 126:          3322          79728  fuck_the_regulations_v321.d0
 127:          2486          79552  javax.swing.text.html.parser.ContentModel (java.desktop@11.0.7)
 128:          2485          79520  java.lang.invoke.BoundMethodHandle$Species_L (java.base@11.0.7)
 129:          3308          79392  fuck_the_regulations_v321.bm
 130:          3277          78648  fuck_the_regulations_v321.bs
 131:          3248          77952  com.intellij.util.keyFMap.OneElementFMap
 132:          3138          75312  fuck_the_regulations_v321.by
 133:          3134          75216  org.languagetool.rules.IncorrectExample
 134:          4700          75200  java.util.Collections$UnmodifiableSet (java.base@11.0.7)
 135:           141          74448  [Ljavassist.bytecode.ConstInfo;
 136:          1315          73640  com.intellij.openapi.extensions.impl.InterfaceExtensionPoint
 137:          1500          72000  sun.util.locale.LocaleObjectCache$CacheEntry (java.base@11.0.7)
 138:          1785          71400  java.lang.ref.Finalizer (java.base@11.0.7)
 139:          2958          70992  sun.reflect.annotation.AnnotationInvocationHandler (java.base@11.0.7)
 140:          2948          70752  fuck_the_regulations_v321.a_
 141:          4388          70208  com.intellij.openapi.actionSystem.Presentation$$Lambda$731/0x0000000800917c40
 142:          1213          67928  java.lang.Module (java.base@11.0.7)
 143:          1670          66800  com.intellij.openapi.components.ServiceDescriptor
 144:          1186          66416  java.util.HashMap$TreeNode (java.base@11.0.7)
 145:          1641          65640  com.intellij.serviceContainer.ServiceComponentAdapter
 146:          2688          64512  com.intellij.codeInsight.daemon.HighlightDisplayKey
 147:          2157          64344  [Lcom.sun.javafx.css.ParsedValueImpl; (javafx.graphics@11.0.7)
 148:          1587          63480  java.security.AccessControlContext (java.base@11.0.7)
 149:          1579          63160  com.intellij.ui.JBColor
 150:          1571          62840  com.intellij.openapi.util.IconLoader$CachedImageIcon$MyUrlResolver
 151:          2597          62328  com.intellij.grazie.detector.utils.collections.array.TwoOptimizedFloatArray
 152:          1889          60448  java.util.Collections$SynchronizedMap (java.base@11.0.7)
 153:          3776          60416  java.util.regex.Pattern$BranchConn (java.base@11.0.7)
 154:          1474          58960  org.apache.log4j.Logger
 155:          2447          58728  org.apache.log4j.CategoryKey
 156:            21          58640  [Lcom.intellij.util.containers.ConcurrentIntObjectHashMap$Node;
 157:          1830          58560  java.awt.Rectangle (java.desktop@11.0.7)
 158:          1817          58144  java.util.Vector (java.base@11.0.7)
 159:           558          58032  sun.awt.image.IntegerInterleavedRaster (java.desktop@11.0.7)
 160:          1441          57640  com.intellij.codeInsight.template.impl.Variable
 161:          1441          57640  com.intellij.psi.impl.source.tree.LeafPsiElement
 162:          2390          57360  java.lang.Class$AnnotationData (java.base@11.0.7)
 163:          2383          57192  org.jdom.ImmutableSameTypeAttributeList
 164:          1777          56864  com.intellij.openapi.util.ObjectNode
 165:          1394          55760  com.intellij.reference.SoftReference
 166:           156          54912  javax.swing.JPanel (java.desktop@11.0.7)
 167:           622          54736  kotlin.reflect.jvm.internal.impl.metadata.ProtoBuf$Type
 168:          3379          54064  com.intellij.openapi.actionSystem.Presentation$$Lambda$730/0x0000000800917840
 169:          1348          53920  com.intellij.codeInsight.template.impl.LiveTemplatesOptionsTopHitProvider$Option
 170:           744          53568  java.util.ResourceBundle$CacheKey (java.base@11.0.7)
 171:          1106          53088  jdk.internal.ref.CleanerImpl$PhantomCleanableRef (java.base@11.0.7)
 172:          2174          52176  kotlin.reflect.jvm.internal.impl.protobuf.FieldSet
 173:          1624          51968  com.intellij.openapi.actionSystem.impl.ActionManagerImpl$$Lambda$733/0x0000000800917440
 174:          1297          51880  java.lang.invoke.DirectMethodHandle$Special (java.base@11.0.7)
 175:           922          51632  java.lang.invoke.MethodTypeForm (java.base@11.0.7)
 176:          2137          51288  java.util.regex.Pattern$GroupTail (java.base@11.0.7)
 177:          2128          51072  java.util.regex.Pattern$GroupHead (java.base@11.0.7)
 178:           399          51072  sun.nio.fs.UnixFileAttributes (java.base@11.0.7)
 179:          2124          50976  kotlin.reflect.jvm.internal.ReflectProperties$LazySoftVal
 180:           577          50776  kotlin.reflect.jvm.internal.impl.metadata.ProtoBuf$Function
 181:          1586          50752  com.intellij.util.lang.ClassLoadingLocks$WeakLockReference
 182:          1575          50400  java.lang.ref.ReferenceQueue (java.base@11.0.7)
 183:          1550          49600  org.intellij.markdown.ast.LeafASTNode
 184:          1033          49584  java.nio.HeapByteBuffer (java.base@11.0.7)
 185:          1028          49344  java.nio.HeapCharBuffer (java.base@11.0.7)
 186:          3011          48176  org.languagetool.rules.CorrectExample
 187:          2987          47792  com.intellij.util.containers.LockFreeCopyOnWriteArrayList
 188:          2985          47760  com.intellij.openapi.actionSystem.impl.ProxyShortcutSet
 189:          1488          47616  java.util.ResourceBundle$KeyElementReference (java.base@11.0.7)
 190:          1186          47440  java.security.ProtectionDomain (java.base@11.0.7)
 191:           845          47320  com.intellij.vcs.log.impl.VcsCommitMetadataImpl
 192:          1968          47232  java.util.Collections$SingletonList (java.base@11.0.7)
 193:          1177          47080  java.security.CodeSource (java.base@11.0.7)
 194:          1668          47024  [Lcom.intellij.util.lang.Loader;
 195:          1958          46992  com.intellij.openapi.actionSystem.KeyboardShortcut
 196:          1948          46752  com.sun.javafx.css.PseudoClassState (javafx.graphics@11.0.7)
 197:          1461          46752  java.lang.invoke.LambdaForm$NamedFunction (java.base@11.0.7)
 198:           822          46032  com.intellij.util.containers.SLRUMap$1
 199:           822          46032  com.intellij.util.containers.SLRUMap$2
 200:          1433          45856  jdk.internal.reflect.UnsafeBooleanFieldAccessorImpl (java.base@11.0.7)
 201:          1909          45816  com.sun.javafx.css.StyleClassSet (javafx.graphics@11.0.7)
 202:           708          45312  com.intellij.util.lang.JarLoader
 203:          1119          44760  com.intellij.util.xmlb.OptionTagBinding
 204:          1358          44240  [Ljava.security.ProtectionDomain; (java.base@11.0.7)
 205:          2724          43584  javax.swing.event.EventListenerList (java.desktop@11.0.7)
 206:          1806          43344  org.jdom.Text
 207:          2687          42992  java.util.concurrent.atomic.AtomicBoolean (java.base@11.0.7)
