No dump file specified
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:        250891       56645712  [B (java.base@14.0.1)
   2:          8475        6616224  [I (java.base@14.0.1)
   3:        149664        3591936  java.lang.String (java.base@14.0.1)
   4:          1603        2742864  [C (java.base@14.0.1)
   5:         23684        2084192  java.lang.reflect.Method (java.base@14.0.1)
   6:         21041        1346624  java.net.URL (java.base@14.0.1)
   7:         40363        1291616  org.springframework.boot.loader.jar.StringSequence
   8:         31181        1247240  java.util.LinkedHashMap$Entry (java.base@14.0.1)
   9:          9926        1180744  java.lang.Class (java.base@14.0.1)
  10:         36089        1154848  java.util.concurrent.ConcurrentHashMap$Node (java.base@14.0.1)
  11:         15290        1005280  [Ljava.util.HashMap$Node; (java.base@14.0.1)
  12:         16142         903952  java.util.LinkedHashMap (java.base@14.0.1)
  13:         12654         767272  [Ljava.lang.Object; (java.base@14.0.1)
  14:         33289         734336  [Ljava.lang.Class; (java.base@14.0.1)
  15:         22553         721696  java.util.HashMap$Node (java.base@14.0.1)
  16:          8153         587016  java.lang.reflect.Field (java.base@14.0.1)
  17:         24307         583368  java.lang.StringBuilder (java.base@14.0.1)
  18:         19671         472104  org.springframework.boot.loader.jar.JarURLConnection$JarEntryName
  19:          8000         384000  org.springframework.util.ConcurrentReferenceHashMap$SoftEntryReference
  20:           407         352336  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@14.0.1)
  21:         21936         350976  java.lang.Object (java.base@14.0.1)
  22:          5223         250704  org.springframework.core.ResolvableType
  23:          1017         245104  [J (java.base@14.0.1)
  24:          4911         179160  [Ljava.lang.String; (java.base@14.0.1)
  25:          2434         175248  org.springframework.core.annotation.AnnotationAttributes
  26:          2964         166416  [Ljava.lang.reflect.Method; (java.base@14.0.1)
  27:          2012         160960  java.lang.reflect.Constructor (java.base@14.0.1)
  28:          3966         158640  java.lang.ref.SoftReference (java.base@14.0.1)
  29:          1243         149160  org.springframework.boot.loader.jar.JarEntry
  30:          2230         142720  java.lang.Class$ReflectionData (java.base@14.0.1)
